PV,elemField_eng,elemField_phy,elemHandle,elemIndex,elemLength,elemName,elemPosition,elemType,machine,physicsName,physicsType,,,
LS1_CA02:DCV_D1180:I_RSET,I,ANG,readset,52,0,LS1_CA02:DCV_D1180,5.6336985,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:DCV_D1180:I_RD,I,ANG,readback,52,0,LS1_CA02:DCV_D1180,5.6336985,VCOR,LIVE,vert. corrector magnet,S1,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV4_D1184:PHA_CSET,PHA,PHASE,setpoint,55,0.24,LS1_CA02:CAV4_D1184,6.1481035,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV4_D1184:PHA_RSET,PHA,PHASE,readset,55,0.24,LS1_CA02:CAV4_D1184,6.1481035,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV4_D1184:PHA_RD,PHA,PHASE,readback,55,0.24,LS1_CA02:CAV4_D1184,6.1481035,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV4_D1184:AMPL_CSET,AMP,AMPLITUDE,setpoint,55,0.24,LS1_CA02:CAV4_D1184,6.1481035,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV4_D1184:AMPL_RSET,AMP,AMPLITUDE,readset,55,0.24,LS1_CA02:CAV4_D1184,6.1481035,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_CA02:CAV4_D1184:AMPL_RD,AMP,AMPLITUDE,readback,55,0.24,LS1_CA02:CAV4_D1184,6.1481035,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA02,LINAC
LS1_WA02:BPM_D1188:X_RD,X,XPOS,readback,59,0,LS1_WA02:BPM_D1188,6.469692,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA02,LINAC
LS1_WA02:BPM_D1188:Y_RD,Y,YPOS,readback,59,0,LS1_WA02:BPM_D1188,6.469692,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA02,LINAC
LS1_WA02:BPM_D1188:PHA_RD,PHA,PHASE,readback,59,0,LS1_WA02:BPM_D1188,6.469692,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA02,LINAC
LS1_WA02:BPM_D1188:ENG_RD,ENG,ENERGY,readback,59,0,LS1_WA02:BPM_D1188,6.469692,BPM,LIVE,position monitor,BPM2,phantasy.sys.LS1,phantasy.sub.WA02,LINAC
LS1_CA03:CAV1_D1195:PHA_CSET,PHA,PHASE,setpoint,67,0.24,LS1_CA03:CAV1_D1195,7.2042765,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
LS1_CA03:CAV1_D1195:PHA_RSET,PHA,PHASE,readset,67,0.24,LS1_CA03:CAV1_D1195,7.2042765,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
LS1_CA03:CAV1_D1195:PHA_RD,PHA,PHASE,readback,67,0.24,LS1_CA03:CAV1_D1195,7.2042765,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
LS1_CA03:CAV1_D1195:AMPL_CSET,AMP,AMPLITUDE,setpoint,67,0.24,LS1_CA03:CAV1_D1195,7.2042765,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
LS1_CA03:CAV1_D1195:AMPL_RSET,AMP,AMPLITUDE,readset,67,0.24,LS1_CA03:CAV1_D1195,7.2042765,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
LS1_CA03:CAV1_D1195:AMPL_RD,AMP,AMPLITUDE,readback,67,0.24,LS1_CA03:CAV1_D1195,7.2042765,CAV,LIVE,b04 resonator,CAV_B04,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
LS1_CA03:BPM_D1196:X_RD,X,XPOS,readback,70,0,LS1_CA03:BPM_D1196,7.272468,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
LS1_CA03:BPM_D1196:Y_RD,Y,YPOS,readback,70,0,LS1_CA03:BPM_D1196,7.272468,BPM,LIVE,"position monitor, BPMc",BPM6,phantasy.sys.LS1,phantasy.sub.CA03,LINAC
